CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
131308,Cascade Medical Center,Cascade,ID,"Not In Any System - ,",Critical Access,131308_Cascade Medical Center
131309,Caribou Memorial Hospital,Soda Springs,ID,"Not In Any System - ,",Critical Access,131309_Caribou Memorial Hospital
131310,St. Luke's Jerome Medical Center,Jerome,ID,"St. Luke's Health System - Boise, ID",Critical Access,131310_St. Luke's Jerome Medical Center
131311,St. Luke's Elmore Medical Center,Mountain Home,ID,"St. Luke's Health System - Boise, ID",Critical Access,131311_St. Luke's Elmore Medical Center
131312,St. Luke's McCall Medical Center,McCall,ID,"St. Luke's Health System - Boise, ID",Critical Access,131312_St. Luke's McCall Medical Center
131313,Teton Valley Hospital,Driggs,ID,"Not In Any System - ,",Critical Access,131313_Teton Valley Hospital
131314,Shoshone Medical Center,Kellogg,ID,"Not In Any System - ,",Critical Access,131314_Shoshone Medical Center
131315,Syringa General Hospital,Grangeville,ID,"Not In Any System - ,",Critical Access,131315_Syringa General Hospital
131316,Bear Lake Memorial Hospital,Montpelier,ID,"Not In Any System - ,",Critical Access,131316_Bear Lake Memorial Hospital
131317,Benewah Community Hospital,Saint Maries,ID,"Not In Any System - ,",Critical Access,131317_Benewah Community Hospital
131318,Valor Health,Emmett,ID,"Not In Any System - ,",Critical Access,131318_Valor Health
131319,Minidoka Memorial Hospital,Rupert,ID,"Not In Any System - ,",Critical Access,131319_Minidoka Memorial Hospital
131320,Clearwater Valley Hospital,Orofino,ID,"Kootenai Health - Coeur d'Alene, ID",Critical Access,131320_Clearwater Valley Hospital
131321,Saint Mary's Hospital and Clinics,Cottonwood,ID,"Kootenai Health - Coeur d'Alene, ID",Critical Access,131321_Saint Mary's Hospital and Clinics
131322,Franklin County Medical Center,Preston,ID,"Not In Any System - ,",Critical Access,131322_Franklin County Medical Center
131323,St. Luke's Wood River Medical Center,Ketchum,ID,"St. Luke's Health System - Boise, ID",Critical Access,131323_St. Luke's Wood River Medical Center
131324,Lost Rivers Medical Center,Arco,ID,"Not In Any System - ,",Critical Access,131324_Lost Rivers Medical Center
131325,Bingham Memorial Hospital,Blackfoot,ID,"Not In Any System - ,",Critical Access,131325_Bingham Memorial Hospital
131326,Cassia Regional Hospital,Burley,ID,"Intermountain Health Care, Inc - Salt Lake City, UT",Critical Access,131326_Cassia Regional Hospital
131327,Gritman Medical Center,Moscow,ID,"Not In Any System - ,",Critical Access,131327_Gritman Medical Center
131328,Bonner General Hospital,Sandpoint,ID,"Not In Any System - ,",Critical Access,131328_Bonner General Hospital
132001,Northern Idaho Advanced Care Hospital,Post Falls,ID,"Ernest Health, Inc. - Albuquerque, NM",Long Term,132001_Northern Idaho Advanced Care Hospital
132002,Vibra Hospital of Boise,Boise,ID,"Vibra Healthcare - Mechanicsburg, PA",Long Term,132002_Vibra Hospital of Boise
133025,St. Luke's Rehabilitation Hospital,Boise,ID,"St. Luke's Health System - Boise, ID",Rehabilitation,133025_St. Luke's Rehabilitation Hospital
133027,Rehabilitation Hospital of the Northwest,Post Falls,ID,"Ernest Health, Inc. - Albuquerque, NM",Rehabilitation,133027_Rehabilitation Hospital of the Northwest
133028,Saint Alphonsus Regional Rehabilitation Hospital,Boise,ID,"Not In Any System - ,",Rehabilitation,133028_Saint Alphonsus Regional Rehabilitation Hospital
134002,Intermountain Hospital,Boise,ID,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,134002_Intermountain Hospital
134009,Lifeways Hospital,Boise,ID,"Not In Any System - ,",Psychiatric,134009_Lifeways Hospital
134010,State Hospital South,Blackfoot,ID,"Not In Any System - ,",Psychiatric,134010_State Hospital South
134011,Portneuf Medical Center Behavioral Health,Pocatello,ID,"Not In Any System - ,",Psychiatric,134011_Portneuf Medical Center Behavioral Health
134017,Cottonwood Creek Behavioral Hospital,Meridian,ID,"Haven Behavioral Healthcare, Inc. - Nashville, TN",Psychiatric,134017_Cottonwood Creek Behavioral Hospital
140001,Graham Hospital,Canton,IL,"Not In Any System - ,",Short Term Acute Care,140001_Graham Hospital
140002,Alton Memorial Hospital,Alton,IL,"BJC HealthCare - Saint Louis, MO",Short Term Acute Care,140002_Alton Memorial Hospital
140007,AMITA Health Saint Joseph Medical Center Joliet,Joliet,IL,"AMITA Health - Chicago, IL",Short Term Acute Care,140007_AMITA Health Saint Joseph Medical Center Joliet
140008,Loyola Gottlieb Memorial Hospital,Melrose Park,IL,"Trinity Health - Livonia, MI",Short Term Acute Care,140008_Loyola Gottlieb Memorial Hospital
140010,Evanston Hospital,Evanston,IL,"NorthShore University HealthSystem - Chicago, IL",Short Term Acute Care,140010_Evanston Hospital
140011,Herrin Hospital,Herrin,IL,"Southern Illinois Healthcare - Carbondale, IL",Short Term Acute Care,140011_Herrin Hospital
140012,Katherine Shaw Bethea Hospital,Dixon,IL,"Not In Any System - ,",Short Term Acute Care,140012_Katherine Shaw Bethea Hospital
140013,UnityPoint Health - Proctor,Peoria,IL,"UnityPoint Health - Des Moines, IA",Short Term Acute Care,140013_UnityPoint Health - Proctor
140015,Blessing Hospital,Quincy,IL,"Blessing Health System - Quincy, IL",Short Term Acute Care,140015_Blessing Hospital
140018,Mount Sinai Hospital,Chicago,IL,"Sinai Health System - Chicago, IL",Short Term Acute Care,140018_Mount Sinai Hospital
140019,HSHS Good Shepherd Hospital,Shelbyville,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140019_HSHS Good Shepherd Hospital
140029,Rush-Copley Medical Center,Aurora,IL,"Rush System for Health - Chicago, IL",Short Term Acute Care,140029_Rush-Copley Medical Center
140030,Advocate Sherman Hospital,Elgin,IL,"Advocate Aurora Health - Downers Grove, IL",Short Term Acute Care,140030_Advocate Sherman Hospital
140032,HSHS Saint Anthony's Memorial Hospital,Effingham,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140032_HSHS Saint Anthony's Memorial Hospital
140033,Lake Behavioral Hospital,Waukegan,IL,"US HealthVest - New York, NY",Short Term Acute Care,140033_Lake Behavioral Hospital
140034,SSM Health Saint Mary's Hospital-Centralia,Centralia,IL,"SSM Health Care - Saint Louis, MO",Short Term Acute Care,140034_SSM Health Saint Mary's Hospital-Centralia
14003F,Jesse Brown VA Medical Center,Chicago,IL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,14003F_Jesse Brown VA Medical Center
140040,Galesburg Cottage Hospital,Galesburg,IL,"Not In Any System - ,",Short Term Acute Care,140040_Galesburg Cottage Hospital
140043,CGH Medical Center,Sterling,IL,"Not In Any System - ,",Short Term Acute Care,140043_CGH Medical Center
140046,SSM Health Good Samaritan Hospital - Mount Vernon,Mount Vernon,IL,"SSM Health Care - Saint Louis, MO",Short Term Acute Care,140046_SSM Health Good Samaritan Hospital - Mount Vernon
140048,Advocate Trinity Hospital,Chicago,IL,"Advocate Aurora Health - Downers Grove, IL",Short Term Acute Care,140048_Advocate Trinity Hospital
140049,West Suburban Medical Center,Oak Park,IL,"Pipeline Health - El Segundo, CA",Short Term Acute Care,140049_West Suburban Medical Center
14004F,VA Illiana Health Care System,Danville,IL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,14004F_VA Illiana Health Care System
140051,Skokie Hospital,Skokie,IL,"NorthShore University HealthSystem - Chicago, IL",Short Term Acute Care,140051_Skokie Hospital
140052,OSF Saint Anthony's Health Center,Alton,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140052_OSF Saint Anthony's Health Center
140053,HSHS Saint John's Hospital,Springfield,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140053_HSHS Saint John's Hospital
140054,MacNeal Hospital,Berwyn,IL,"Trinity Health - Livonia, MI",Short Term Acute Care,140054_MacNeal Hospital
140058,Passavant Area Hospital,Jacksonville,IL,"Not In Any System - ,",Short Term Acute Care,140058_Passavant Area Hospital
140059,Jersey Community Hospital,Jerseyville,IL,"Not In Any System - ,",Short Term Acute Care,140059_Jersey Community Hospital
140062,Palos Hospital,Palos Heights,IL,"Not In Any System - ,",Short Term Acute Care,140062_Palos Hospital
140063,Rush Oak Park Hospital,Oak Park,IL,"Rush System for Health - Chicago, IL",Short Term Acute Care,140063_Rush Oak Park Hospital
140064,OSF Saint Mary Medical Center,Galesburg,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140064_OSF Saint Mary Medical Center
140065,AMITA Health Adventist Medical Center La Grange,La Grange,IL,"Not In Any System - ,",Short Term Acute Care,140065_AMITA Health Adventist Medical Center La Grange
140067,OSF Saint Francis Medical Center,Peoria,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140067_OSF Saint Francis Medical Center
140068,Roseland Community Hospital,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140068_Roseland Community Hospital
140077,Touchette Regional Hospital,Centreville,IL,"Not In Any System - ,",Short Term Acute Care,140077_Touchette Regional Hospital
14007F,"Edward Hines, Jr. VA Hospital",Hines,IL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,"14007F_Edward Hines, Jr. VA Hospital"
140080,AMITA Health Saint Francis Hospital Evanston,Evanston,IL,"AMITA Health - Chicago, IL",Short Term Acute Care,140080_AMITA Health Saint Francis Hospital Evanston
140082,Weiss Memorial Hospital,Chicago,IL,"Pipeline Health - El Segundo, CA",Short Term Acute Care,140082_Weiss Memorial Hospital
140083,Loretto Hospital,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140083_Loretto Hospital
140084,Vista Medical Center East,Waukegan,IL,"Quorum Health - Brentwood, TN",Short Term Acute Care,140084_Vista Medical Center East
140088,UChicago Medicine,Chicago,IL,"UChicago Medicine - Chicago, IL",Short Term Acute Care,140088_UChicago Medicine
140089,McDonough District Hospital,Macomb,IL,"Not In Any System - ,",Short Term Acute Care,140089_McDonough District Hospital
14008F,Marion VA Medical Center,Marion,IL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,14008F_Marion VA Medical Center
140091,Carle Foundation Hospital,Urbana,IL,"Carle Foundation Health System - Urbana, IL",Short Term Acute Care,140091_Carle Foundation Hospital
140093,OSF Sacred Heart Medical Center,Danville,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140093_OSF Sacred Heart Medical Center
140094,AMITA Health Saints Mary and Elizabeth Medical Center Chicago,Chicago,IL,"AMITA Health - Chicago, IL",Short Term Acute Care,140094_AMITA Health Saints Mary and Elizabeth Medical Center Chicago
140095,Saint Anthony Hospital,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140095_Saint Anthony Hospital
140100,Cancer Treatment Centers of America Chicago,Zion,IL,"Cancer Treatment Centers of America - Boca Raton, FL",Short Term Acute Care,140100_Cancer Treatment Centers of America Chicago
140101,Morris Hospital,Morris,IL,"Not In Any System - ,",Short Term Acute Care,140101_Morris Hospital
140103,Saint Bernard Hospital and Health Care Center,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140103_Saint Bernard Hospital and Health Care Center
140110,OSF Saint Elizabeth Medical Center,Ottawa,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140110_OSF Saint Elizabeth Medical Center
140113,OSF Heart of Mary Medical Center,Urbana,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140113_OSF Heart of Mary Medical Center
140114,Swedish Hospital,Chicago,IL,"NorthShore University HealthSystem - Chicago, IL",Short Term Acute Care,140114_Swedish Hospital
140115,Thorek Memorial Hospital,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140115_Thorek Memorial Hospital
140116,Northwestern Medicine McHenry Hospital,McHenry,IL,"Northwestern Medicine - Chicago, IL",Short Term Acute Care,140116_Northwestern Medicine McHenry Hospital
140117,AMITA Health Resurrection Medical Center Chicago,Chicago,IL,"AMITA Health - Chicago, IL",Short Term Acute Care,140117_AMITA Health Resurrection Medical Center Chicago
140119,Rush University Medical Center,Chicago,IL,"Rush System for Health - Chicago, IL",Short Term Acute Care,140119_Rush University Medical Center
14011F,375th Medical Group - Scott Air Force Base Medical Center,Scott Air Force Base,IL,"TRICARE - Falls Church, VA",Short Term Acute Care,14011F_375th Medical Group - Scott Air Force Base Medical Center
140120,UnityPoint Health - Pekin,Pekin,IL,"UnityPoint Health - Des Moines, IA",Short Term Acute Care,140120_UnityPoint Health - Pekin
140122,AMITA Health Adventist Medical Center Hinsdale,Hinsdale,IL,"Not In Any System - ,",Short Term Acute Care,140122_AMITA Health Adventist Medical Center Hinsdale
140124,"John H. Stroger, Jr. Hospital of Cook County",Chicago,IL,"Cook County Health - Chicago, IL",Short Term Acute Care,"140124_John H. Stroger, Jr. Hospital of Cook County"
140125,Gateway Regional Medical Center,Granite City,IL,"Quorum Health - Brentwood, TN",Short Term Acute Care,140125_Gateway Regional Medical Center
140127,Carle BroMenn Medical Center,Normal,IL,"Carle Foundation Health System - Urbana, IL",Short Term Acute Care,140127_Carle BroMenn Medical Center
140130,Northwestern Medicine Lake Forest Hospital,Lake Forest,IL,"Northwestern Medicine - Chicago, IL",Short Term Acute Care,140130_Northwestern Medicine Lake Forest Hospital
140133,Holy Cross Hospital,Chicago,IL,"Sinai Health System - Chicago, IL",Short Term Acute Care,140133_Holy Cross Hospital
140135,Decatur Memorial Hospital,Decatur,IL,"Memorial Health System - Springfield, IL",Short Term Acute Care,140135_Decatur Memorial Hospital
140137,HSHS Holy Family Hospital,Greenville,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140137_HSHS Holy Family Hospital
140143,Saint Margaret's Health-Spring Valley,Spring Valley,IL,"Sisters of Mary of the Presentation Health System - Fargo, ND",Short Term Acute Care,140143_Saint Margaret's Health-Spring Valley
140145,HSHS Saint Joseph's Hospital Breese,Breese,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140145_HSHS Saint Joseph's Hospital Breese
140147,Carle Richland Memorial Hospital,Olney,IL,"Carle Foundation Health System - Urbana, IL",Short Term Acute Care,140147_Carle Richland Memorial Hospital
140148,Memorial Medical Center,Springfield,IL,"Memorial Health System - Springfield, IL",Short Term Acute Care,140148_Memorial Medical Center
140150,University of Illinois Medical Center,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140150_University of Illinois Medical Center
140155,AMITA Health St. Marys Hospital Kankakee,Kankakee,IL,"AMITA Health - Chicago, IL",Short Term Acute Care,140155_AMITA Health St. Marys Hospital Kankakee
140158,Mercy Hospital & Medical Center,Chicago,IL,"Not In Any System - ,",Short Term Acute Care,140158_Mercy Hospital & Medical Center
140160,FHN Memorial Hospital,Freeport,IL,"Not In Any System - ,",Short Term Acute Care,140160_FHN Memorial Hospital
140161,OSF Saint James-John W. Albrecht Medical Center,Pontiac,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140161_OSF Saint James-John W. Albrecht Medical Center
140162,OSF Saint Joseph Medical Center,Bloomington,IL,"OSF Healthcare System - Peoria, IL",Short Term Acute Care,140162_OSF Saint Joseph Medical Center
140164,Memorial Hospital of Carbondale,Carbondale,IL,"Southern Illinois Healthcare - Carbondale, IL",Short Term Acute Care,140164_Memorial Hospital of Carbondale
140166,HSHS Saint Mary's Hospital,Decatur,IL,"Hospital Sisters Health System (HSHS) - Springfield, IL",Short Term Acute Care,140166_HSHS Saint Mary's Hospital
140167,Iroquois Memorial Hospital,Watseka,IL,"Not In Any System - ,",Short Term Acute Care,140167_Iroquois Memorial Hospital
